dob_yy,dob_mm,apgar5,births
2011,1,0,167
2011,1,1,720
2011,1,10,10864
2011,1,2,492
2011,1,3,586
2011,1,4,702
2011,1,5,1193
2011,1,6,2172
2011,1,7,5961
2011,1,8,32198
2011,1,9,264592
2011,1,99,1457
2011,10,0,137
2011,10,1,767
2011,10,10,11117
2011,10,2,556
2011,10,3,528
2011,10,4,714
2011,10,5,1195
2011,10,6,2152
2011,10,7,5905
2011,10,8,32391
2011,10,9,272041
2011,10,99,1671
2011,11,0,131
2011,11,1,687
2011,11,10,11021
2011,11,2,492
2011,11,3,553
2011,11,4,743
2011,11,5,1195
2011,11,6,2152
2011,11,7,5640
2011,11,8,31275
2011,11,9,266732
2011,11,99,1514
2011,12,0,139
2011,12,1,680
2011,12,10,11000
2011,12,2,509
2011,12,3,509
2011,12,4,759
2011,12,5,1154
2011,12,6,2261
2011,12,7,5709
2011,12,8,32061
2011,12,9,271702
2011,12,99,1503
2011,2,0,155
2011,2,1,704
2011,2,10,10219
2011,2,2,492
2011,2,3,484
2011,2,4,639
2011,2,5,1088
2011,2,6,1963
2011,2,7,5398
2011,2,8,29437
2011,2,9,246540
2011,2,99,1418
2011,3,0,147
2011,3,1,808
2011,3,10,10900
2011,3,2,510
2011,3,3,497
2011,3,4,733
2011,3,5,1188
2011,3,6,2195
2011,3,7,6028
2011,3,8,33181
2011,3,9,273068
2011,3,99,1497
2011,4,0,148
2011,4,1,774
2011,4,10,10302
2011,4,2,506
2011,4,3,532
2011,4,4,701
2011,4,5,1196
2011,4,6,2155
2011,4,7,5884
2011,4,8,31908
2011,4,9,258248
2011,4,99,1521
2011,5,0,147
2011,5,1,770
2011,5,10,11070
2011,5,2,523
2011,5,3,540
2011,5,4,757
2011,5,5,1247
2011,5,6,2196
2011,5,7,6122
2011,5,8,33199
2011,5,9,269269
2011,5,99,1402
2011,6,0,160
2011,6,1,776
2011,6,10,11353
2011,6,2,534
2011,6,3,518
2011,6,4,730
2011,6,5,1202
2011,6,6,2248
2011,6,7,6170
2011,6,8,33647
2011,6,9,278990
2011,6,99,1562
2011,7,0,152
2011,7,1,808
2011,7,10,11726
2011,7,2,493
2011,7,3,590
2011,7,4,759
2011,7,5,1253
2011,7,6,2422
2011,7,7,6301
2011,7,8,34565
2011,7,9,285444
2011,7,99,1679
2011,8,0,153
2011,8,1,862
2011,8,10,11843
2011,8,2,578
2011,8,3,570
2011,8,4,793
2011,8,5,1260
2011,8,6,2434
2011,8,7,6249
2011,8,8,35596
2011,8,9,297973
2011,8,99,1768
2011,9,0,155
2011,9,1,754
2011,9,10,11579
2011,9,2,532
2011,9,3,526
2011,9,4,748
2011,9,5,1231
2011,9,6,2370
2011,9,7,6023
2011,9,8,33839
2011,9,9,286727
2011,9,99,1770
1989,1,0,225
1989,1,1,531
1989,1,10,39441
1989,1,2,260
1989,1,3,265
1989,1,4,408
1989,1,5,765
1989,1,6,1665
1989,1,7,4184
1989,1,8,18644
1989,1,9,178749
1989,1,99,75664
1989,10,0,227
1989,10,1,611
1989,10,10,40584
1989,10,2,266
1989,10,3,261
1989,10,4,435
1989,10,5,747
1989,10,6,1739
1989,10,7,4291
1989,10,8,19779
1989,10,9,193148
1989,10,99,82473
1989,11,0,192
1989,11,1,526
1989,11,10,37495
1989,11,2,276
1989,11,3,278
1989,11,4,381
1989,11,5,758
1989,11,6,1563
1989,11,7,3939
1989,11,8,18828
1989,11,9,182749
1989,11,99,78951
1989,12,0,193
1989,12,1,551
1989,12,10,38464
1989,12,2,278
1989,12,3,251
1989,12,4,389
1989,12,5,722
1989,12,6,1614
1989,12,7,4081
1989,12,8,18899
1989,12,9,189366
1989,12,99,81400
1989,2,0,198
1989,2,1,465
1989,2,10,36377
1989,2,2,215
1989,2,3,255
1989,2,4,372
1989,2,5,660
1989,2,6,1494
1989,2,7,3867
1989,2,8,17887
1989,2,9,168573
1989,2,99,70394
1989,3,0,234
1989,3,1,587
1989,3,10,41315
1989,3,2,245
1989,3,3,279
1989,3,4,427
1989,3,5,781
1989,3,6,1599
