dob_yy,dob_mm,births
2011,1,321104
2011,10,329174
2011,11,322135
2011,12,327986
2011,2,298537
2011,3,330752
2011,4,313875
2011,5,327242
2011,6,337890
2011,7,346192
2011,8,360079
2011,9,346254
1989,1,320801
1989,10,344561
1989,11,325936
1989,12,336208
1989,2,300757
1989,3,340322
1989,4,319121
1989,5,336692
1989,6,339348
1989,7,357117
1989,8,367060
1989,9,357770
1972,1,148283
1972,10,147979
1972,11,141907
1972,12,148671
1972,2,140723
1972,3,146423
1972,4,136487
1972,5,144471
1972,6,139068
1972,7,148821
1972,8,154624
1972,9,151945
1985,1,304419
1985,10,323377
1985,11,301928
1985,12,311132
1985,2,281581
1985,3,311023
1985,4,302127
1985,5,318010
1985,6,308862
1985,7,333911
1985,8,337019
1985,9,331675
1973,1,155731
1973,10,155802
1973,11,147684
1973,12,152624
1973,2,141328
1973,3,157990
1973,4,145304
1973,5,149371
1973,6,149023
1973,7,161452
1973,8,164761
1973,9,158666
2008,1,357044
2008,10,358533
2008,11,324407
2008,12,354450
2008,2,339103
2008,3,351182
2008,4,346984
2008,5,355435
2008,6,349225
2008,7,376105
2008,8,374028
2008,9,368660
1977,1,226511
1977,10,238168
1977,11,223894
1977,12,227012
1977,2,211414
1977,3,233959
1977,4,218225
1977,5,228813
1977,6,227956
1977,7,242873
1977,8,249784
1977,9,243597
2018,1,315593
2018,10,327740
2018,11,309475
2018,12,311581
2018,2,284940
2018,3,316824
2018,4,299125
2018,5,321448
2018,6,315585
2018,7,329851
2018,8,345687
2018,9,323685
1983,1,273080
1983,10,280184
1983,11,266743
1983,12,273836
1983,2,254237
1983,3,285423
1983,4,269550
1983,5,278348
1983,6,279104
1983,7,292211
1983,8,297113
1983,9,288054
1968,1,138702
1968,10,152144
1968,11,145792
1968,12,152383
1968,2,133041
1968,3,141076
1968,4,136782
1968,5,144234
1968,6,143716
1968,7,154198
1968,8,155838
1968,9,152876
2006,1,340899
2006,10,368060
2006,11,352489
2006,12,356714
2006,2,319845
2006,3,357360
2006,4,330395
2006,5,356063
2006,6,358897
2006,7,368633
2006,8,388481
2006,9,375389
1969,1,146970
1969,10,155986
1969,11,148527
1969,12,157261
1969,2,135393
1969,3,148275
1969,4,141319
1969,5,144562
1969,6,145805
1969,7,159178
1969,8,160517
1969,9,156310
1991,1,335503
1991,10,349380
1991,11,324012
1991,12,341585
1991,2,309423
1991,3,344401
1991,4,335996
1991,5,353492
1991,6,334642
1991,7,363327
1991,8,367220
1991,9,356361
2005,1,332030
2005,10,345293
2005,11,336309
2005,12,348848
2005,2,310096
2005,3,349881
2005,4,333027
2005,5,346830
2005,6,351446
2005,7,357700
2005,8,370045
2005,9,364114
2019,1,311678
2019,2,280679
2019,3,304999
2019,4,299755
2019,5,317160
2019,6,304843
2019,7,334518
2019,8,342617
2019,9,326662
2019,10,326165
2019,11,298899
2019,12,309607
1986,1,306516
1986,10,319471
1986,11,293572
1986,12,313057
1986,2,282794
1986,3,312746
1986,4,304450
1986,5,316319
1986,6,308011
1986,7,334912
1986,8,334264
1986,9,334583
2014,1,327154
2014,10,344265
2014,11,318819
2014,12,341494
2014,2,299087
2014,3,324317
2014,4,319788
2014,5,335444
2014,6,326757
2014,7,356446
2014,8,355201
2014,9,349403
1971,1,156413
1971,10,151624
1971,11,140881
1971,12,143205
1971,2,142026
1971,3,154156
1971,4,143152
1971,5,142463
1971,6,142759
1971,7,152767
1971,8,156561
1971,9,155767
1996,1,314571
1996,10,336656
